timestamp,event_type,query_type,zone_id,cache_key,latency_ms
1780461089.858418,hit,Q3,Z3,density:Z3:conf=0.5,289538.2950305939
1780461094.8812575,hit,Q1,Z1,count:Z1:conf=0.0,294409.3723297119
1780461095.385516,hit,Q1,Z2,count:Z2:conf=0.5,294862.94651031494
1780461095.8898346,hit,Q2,Z1,area:Z1:conf=0.5,295315.89365005493
1780461096.3926857,hit,Q1,Z5,count:Z5:conf=0.5,295768.0404186249
1780461096.8969994,hit,Q1,Z1,count:Z1:conf=0.7,296221.2677001953
1780461097.4009435,hit,Q1,Z5,count:Z5:conf=0.5,296674.5460033417
1780461097.9037406,consumer_lag,Q1,Z1,count:Z1:conf=0.7,1960.0
1780461097.9100564,hit,Q1,Z1,count:Z1:conf=0.7,297132.2958469391
1780461098.408472,hit,Q1,Z4,count:Z4:conf=0.7,297579.78892326355
1780461098.9115899,hit,Q1,Z4,count:Z4:conf=0.0,298031.7234992981
1780461099.4139192,hit,Q2,Z4,area:Z4:conf=0.0,298483.2968711853
1780461099.917495,hit,Q1,Z4,count:Z4:conf=0.5,298935.66131591797
1780461100.4214394,hit,Q2,Z5,area:Z5:conf=0.0,299388.89503479004
1780461100.9240358,hit,Q1,Z2,count:Z2:conf=0.0,299840.3785228729
1780461101.4271472,hit,Q2,Z2,area:Z2:conf=0.7,300292.30523109436
1780461101.9302237,hit,Q4,Z3,compare:density:Z3:Z2:conf=0.7,300744.2717552185
1780461102.4355862,hit,Q1,Z3,count:Z3:conf=0.5,301198.84991645813
1780461102.9372506,consumer_lag,Q4,Z3,compare:density:Z3:Z1:conf=0.7,1950.0
1780461102.9426715,hit,Q4,Z3,compare:density:Z3:Z1:conf=0.7,301654.3414592743
1780461103.4398234,hit,Q5,Z3,confidence_dist:Z3:bins=5,302100.77381134033
1780461104.0482438,miss,Q5,Z5,confidence_dist:Z5:bins=10,302658.74767303467
1780461104.44316,hit,Q2,Z2,area:Z2:conf=0.7,303002.9933452606
1780461104.945249,hit,Q3,Z3,density:Z3:conf=0.5,303454.843044281
1780461105.4467978,hit,Q1,Z4,count:Z4:conf=0.5,303905.6878089905
1780461105.949615,hit,Q3,Z1,density:Z1:conf=0.5,304358.3357334137
1780461106.4514015,hit,Q2,Z4,area:Z4:conf=0.5,304810.3885650635
1780461110.976559,hit,Q2,Z3,area:Z3:conf=0.5,309234.4172000885
1780461111.4759147,consumer_lag,Q2,Z2,area:Z2:conf=0.0,1940.0
1780461111.4817665,hit,Q2,Z2,area:Z2:conf=0.0,309689.4850730896
1780461111.97942,hit,Q2,Z1,area:Z1:conf=0.7,310136.46268844604
1780461112.3390198,hit,Q2,Z4,area:Z4:conf=0.0,305836.1928462982
1780461112.4826415,hit,Q2,Z5,area:Z5:conf=0.5,310589.5926952362
1780461112.8399682,hit,Q5,Z3,confidence_dist:Z3:bins=5,306286.639213562
1780461112.9866486,hit,Q2,Z4,area:Z4:conf=0.5,311042.5910949707
1780461113.3500946,hit,Q1,Z3,count:Z3:conf=0.0,306746.9410896301
1780461137.1899714,hit,Q3,Z5,density:Z5:conf=0.5,60.426950454711914
1780461137.2402456,hit,Q3,Z2,density:Z2:conf=0.5,59.75604057312012
1780461137.290973,hit,Q1,Z3,count:Z3:conf=0.5,59.497833251953125
1780461137.3413563,hit,Q1,Z1,count:Z1:conf=0.7,59.021711349487305
1780461137.3918257,hit,Q5,Z3,confidence_dist:Z3:bins=10,59.27848815917969
1780461137.4423742,hit,Q4,Z1,compare:density:Z1:Z5:conf=0.5,59.03172492980957
1780461137.6299195,miss,Q4,Z1,compare:density:Z1:Z2:conf=0.0,196.55776023864746
1780461137.6461105,hit,Q5,Z1,confidence_dist:Z1:bins=10,161.95178031921387
1780461137.695687,hit,Q1,Z1,count:Z1:conf=0.7,161.1957550048828
1780461137.7468557,hit,Q5,Z1,confidence_dist:Z1:bins=10,161.1936092376709
1780461137.796804,hit,Q2,Z2,area:Z2:conf=0.5,159.42621231079102
1780461137.848461,hit,Q2,Z1,area:Z1:conf=0.0,161.26585006713867
1780461137.9003196,hit,Q1,Z3,count:Z3:conf=0.5,162.09959983825684
1780461137.951196,hit,Q3,Z1,density:Z1:conf=0.0,162.5053882598877
1780461138.0010464,hit,Q4,Z1,compare:density:Z1:Z2:conf=0.5,161.55433654785156
1780461138.0519803,hit,Q1,Z2,count:Z2:conf=0.0,161.61537170410156
1780461138.1017058,hit,Q2,Z1,area:Z1:conf=0.7,160.4914665222168
1780461138.1531706,hit,Q1,Z3,count:Z3:conf=0.0,161.93318367004395
1780461138.2047205,hit,Q2,Z2,area:Z2:conf=0.0,162.6565456390381
1780461138.2563424,hit,Q5,Z1,confidence_dist:Z1:bins=10,164.34216499328613
1780461138.3053179,hit,Q1,Z1,count:Z1:conf=0.7,162.40787506103516
1780461138.3586102,hit,Q2,Z2,area:Z2:conf=0.5,164.42584991455078
1780461138.4095452,hit,Q5,Z2,confidence_dist:Z2:bins=5,164.46852684020996
1780461138.4610972,hit,Q3,Z1,density:Z1:conf=0.7,165.84229469299316
1780461138.5171106,hit,Q1,Z3,count:Z3:conf=0.0,170.92132568359375
1780461138.5618556,hit,Q1,Z1,count:Z1:conf=0.5,161.545991897583
1780461138.6099956,hit,Q3,Z1,density:Z1:conf=0.0,159.6388816833496
1780461138.6625416,hit,Q1,Z3,count:Z3:conf=0.5,162.17374801635742
1780461138.7124562,hit,Q1,Z1,count:Z1:conf=0.5,160.9961986541748
1780461138.7624955,hit,Q5,Z2,confidence_dist:Z2:bins=10,161.04507446289062
1780461138.814126,hit,Q1,Z4,count:Z4:conf=0.7,161.83781623840332
1780461138.865453,hit,Q3,Z1,density:Z1:conf=0.5,162.8715991973877
1780461139.0269458,miss,Q4,Z1,compare:density:Z1:Z4:conf=0.0,273.4498977661133
1780461139.068557,hit,Q3,Z1,density:Z1:conf=0.5,264.82343673706055
1780461139.1200702,hit,Q3,Z1,density:Z1:conf=0.0,265.01965522766113
1780461139.2805765,miss,Q4,Z3,compare:density:Z3:Z4:conf=0.7,374.3174076080322
1780461139.324978,hit,Q2,Z1,area:Z1:conf=0.0,367.8402900695801
1780461139.3753395,hit,Q1,Z1,count:Z1:conf=0.7,367.7194118499756
1780461139.4254124,hit,Q1,Z2,count:Z2:conf=0.5,366.88756942749023
1780461139.4770126,hit,Q1,Z1,count:Z1:conf=0.5,367.1708106994629
1780461139.5266604,hit,Q2,Z1,area:Z1:conf=0.0,365.97275733947754
1780461139.577503,hit,Q1,Z1,count:Z1:conf=0.0,365.57674407958984
1780461139.6273413,hit,Q3,Z1,density:Z1:conf=0.5,364.42041397094727
1780461139.6787543,hit,Q5,Z1,confidence_dist:Z1:bins=10,364.5164966583252
1780461139.7306645,hit,Q2,Z1,area:Z1:conf=0.5,365.57483673095703
1780461139.7813861,hit,Q3,Z3,density:Z3:conf=0.7,366.0707473754883
1780461139.8316882,hit,Q5,Z1,confidence_dist:Z1:bins=10,365.462064743042
1780461139.8825836,hit,Q3,Z1,density:Z1:conf=0.0,366.1763668060303
1780461139.9335952,hit,Q1,Z1,count:Z1:conf=0.5,366.3661479949951
1780461139.984365,hit,Q5,Z4,confidence_dist:Z4:bins=10,366.8358325958252
